id,manufacturer,anatomy,name,ap_filename,lateral_filename,templating_filename
dp-c-stem,DePuy Synthes,Hip,C-Stem,dp-c-stem-ap.jpg,dp-c-stem-lat.jpg,dp-c-stem-tmpl.jpg
dp-charnley,DePuy Synthes,Hip,Charnley,dp-charnley-ap.jpg,dp-charnley-lat.jpg,dp-charnley-tmpl.jpg
dp-elite-plus,DePuy Synthes,Hip,Charnley Elite Plus,dp-elite-plus-ap.jpg,dp-elite-plus-lat.jpg,dp-elite-plus-tmpl.jpg
dp-duraloc,DePuy Synthes,Hip,Duraloc Acetabular System,dp-duraloc-ap.jpg,dp-duraloc-lat.jpg,dp-duraloc-tmpl.jpg
dp-philos,DePuy Synthes,Trauma / Fracture fixation,PHILOS (Proximal Humeral Plate),dp-philos-ap.jpg,dp-philos-lat.jpg,dp-philos-tmpl.jpg
dp-cannulated-screws,DePuy Synthes,Trauma / Fracture fixation,Cannulated Screw Fixation,dp-cannulated-screws-ap.jpg,dp-cannulated-screws-lat.jpg,dp-cannulated-screws-tmpl.jpg
dp-delta-xtend,DePuy Synthes,Shoulder,Delta Xtend,dp-delta-xtend-ap.jpg,dp-delta-xtend-lat.jpg,dp-delta-xtend-tmpl.jpg
dp-sigma-tc3,DePuy Synthes,Knee,P.F.C. Sigma TC3,dp-sigma-tc3-ap.jpg,dp-sigma-tc3-lat.jpg,dp-sigma-tc3-tmpl.jpg
zb-tmta,Zimmer Biomet,Ankle,Trabecular Metal Total Ankle (TMTA),zb-tmta-ap.jpg,zb-tmta-lat.jpg,zb-tmta-tmpl.jpg
st-inbone,Stryker,Ankle,INBONE / INBONE II Total Ankle,st-inbone-ap.jpg,st-inbone-lat.jpg,st-inbone-tmpl.jpg
st-infinity,Stryker,Ankle,INFINITY Total Ankle,st-infinity-ap.jpg,st-infinity-lat.jpg,st-infinity-tmpl.jpg
st-invision,Stryker,Ankle,INVISION Total Ankle (Revision),st-invision-ap.jpg,st-invision-lat.jpg,st-invision-tmpl.jpg
dp-agility,DePuy Synthes,Ankle,Agility Total Ankle,dp-agility-ap.jpg,dp-agility-lat.jpg,dp-agility-tmpl.jpg
zb-nexel,Zimmer Biomet,Elbow,Nexel Total Elbow,zb-nexel-ap.jpg,zb-nexel-lat.jpg,zb-nexel-tmpl.jpg
st-latitude,Stryker,Elbow,Latitude EV Total Elbow,st-latitude-ap.jpg,st-latitude-lat.jpg,st-latitude-tmpl.jpg
dp-acclaim,DePuy Synthes,Elbow,ACCLAIM Total Elbow,dp-acclaim-ap.jpg,dp-acclaim-lat.jpg,dp-acclaim-tmpl.jpg
